1000	C	1000			10000	100000
1000	C	2000				
1000	E	3000			35	44
1001	E	4001				
1001	C	5002				
1002	D	6004				
1003	A	7007				
1003	E	8010				
1004	D	9014				
1007	E	10021				
1008	A	11029				
1008	B	12037				
1009	E	13046				
1010	B	14056				
1010	D	15066				
1011	A	16077				
1011	D	17088				
1013	C	18101				
1014	C	19115				
1015	A	20130				
1018	A	21148				
1020	B	22168				
1022	B	23190				
1022	C	24212				
1023	D	25235				
1023	A	26258				
1023	B	27281				
1024	B	28305				
1025	D	29330				
1026	D	30356				
1027	D	31383				
1028	A	32411				
1029	C	33440				
1029	D	34469				
1035	E	35504				
1036	D	36540				
1036	C	37576				
1037	E	38613				
1037	E	39650				
1037	A	40687				
1038	D	41725				
1038	C	42763				
1039	C	43802				
1040	A	44842				
1043	B	45885				
1043	E	46928				
1044	B	47972				
1044	C	49016				
1045	E	50061				
1045	B	51106				
1045	A	52151				
1046	E	53197				
1047	C	54244				
1048	B	55292				
1049	D	56341				
1050	E	57391				
1052	A	58443				
1052	C	59495				
1052	B	60547				
1052	C	61599				
1052	A	62651				
1055	C	63706				
1056	A	64762				
1058	E	65820				
1060	D	66880				
1061	D	67941				
1062	D	69003				
1064	E	70067				
1065	B	71132				
1066	B	72198				
1067	C	73265				
1068	C	74333				
1069	A	75402				
1071	E	76473				
1155	A	77628				
1150	A	78778				
1145	A	79923				
1143	A	81066				
1075	A	82141				
1138	A	83279				
1137	A	84416				
1132	A	85548				
1135	A	86683				
1129	A	87812				
1125	A	88937				
1113	A	90050				
1114	A	91164				
1119	A	92283				
1107	A	93390				
1109	A	94499				
1098	A	95597				
1094	A	96691				
1088	A	97779				
1089	A	98868				
1088	A	99956		44		
						
						
						
						
						
						
						
						
1145	C	1145				
1146	C	2291				
1148	B	3439				
1150	B	4589				
1150	A	5739				
1152	D	6891				
1155	A	8046				
1155	D	9201				
1161	A	10362				
1162	C	11524				
1163	E	12687				
1165	A	13852				
1165	C	15017				
1167	A	16184				
1168	C	17352				
1169	D	18521				
1170	A	19691				
1170	D	20861				
1171	E	22032				
