1	1							
1	2							
1	3							
1	4							150
3	7							
4	11							
6	17							
7	24							
9	33							
10	43							
12	55							
13	68							
13	81							
13	94							
13	107							
13	120							
15	135							
16	151							
18	169							
20	189							
22	211							
22	233							
24	257							
258	515							
261	776							
262	1038							
263	1301							
264	1565							
265	1830							
265	2095							
266	2361							
268	2629							
270	2899							
272	3171							
272	3443							
272	3715							
274	3989							
274	4263							
276	4539							
277	4816							
277	5093							
278	5371							
280	5651							
281	5932							
281	6213							
282	6495							
282	6777							
282	7059							
283	7342							
284	7626							
285	7911							
286	8197							
286	8483							
288	8771							
289	9060							
289	9349							
291	9640							
293	9933							
293	10226							
295	10521							
295	10816							
297	11113							
297	11410							
298	11708							
300	12008							
300	12308							
302	12610							
303	12913							
303	13216							
305	13521							
307	13828							
307	14135							
307	14442							
307	14749							
309	15058							
311	15369							
313	15682							
315	15997							
315	16312							
317	16629							
319	16948							
321	17269							
322	17591							
323	17914							
325	18239							
325	18564							
325	18889							
325	19214							
325	19539							
325	19864							
325	20189							
326	20515							
327	20842							
328	21170							
328	21498							
328	21826							
329	22155							
330	22485							
330	22815							
332	23147							
334	23481							
335	23816							
335	24151							
335	24486							
337	24823							
338	25161							
339	25500							
341	25841							
343	26184							
345	26529							
347	26876							
348	27224							
349	27573							
350	27923							
352	28275							
353	28628							
353	28981							
355	29336							
356	29692							
357	30049							
359	30408							
361	30769							
363	31132							
363	31495							
364	31859							
364	32223							
32500								
32503	#ÇÍÀ×!							
32506	#ÇÍÀ×!							
32509	#ÇÍÀ×!							
32509	#ÇÍÀ×!							
32510	#ÇÍÀ×!							
32512	#ÇÍÀ×!							
32513	#ÇÍÀ×!							
32513	#ÇÍÀ×!							
32514	#ÇÍÀ×!							
357320	#ÇÍÀ×!							
357320	#ÇÍÀ×!							
357320	#ÇÍÀ×!							
357320	#ÇÍÀ×!							
357320	#ÇÍÀ×!							
357323	#ÇÍÀ×!							
357325	#ÇÍÀ×!							
357326	#ÇÍÀ×!							
357328	#ÇÍÀ×!							
357331	#ÇÍÀ×!							
357334	#ÇÍÀ×!							
357335	#ÇÍÀ×!							
357337	#ÇÍÀ×!							
357338	#ÇÍÀ×!							
