9999937		7994440	447			10000
9998934		7993993	77			
9997989		7993916	1352			
9997908		7992564	267			
9997784		7992297	1044			
9997599		7991253	2016			
9993868		7989237	496			
9990287		7988741	2435			
9989899		7986306	1140			
9988186		7985166	941			
9986604		7984225	1140			
9982821		7983085	1698			
9982305		7981387	568			
9979747		7980819	327			
9977620		7980492	53			
9975636		7980439	442			
9973797		7979997	134			
9972227		7979863	1008			
9972000		7978855	1791			
9971578		7977064	402			
9970742		7976662	1150			
9970371		7975512	319			
9969433		7975193	844			
9969128		7974349	1051			
9967733		7973298	524			
9966509		7972774	705			
9964092		7972069	137			
9963953		7971932	302			
9962840		7971630	638			
9962728		7970992	116			
9959590		7970876	536			
9959070		7970340	223			
9958248		7970117	1055			
9955256		7969062	605			
9953972		7968457	51			
9952788		7968406	596			
9951792		7967810	422			
9951775		7967388	72			
9951233		7967316	45			
9949719		7967271	412			
9949172		7966859	433			
9949096		7966426	282			
9948428		7966144	1973			
9947813		7964171	825			
9946407		7963346	169			
9946368		7963177	292			
9945949		7962885	1324			
9944545		7961561	557			
9943658		7961004	883			
9941779		7960121	278			
9939457		7959843	184			
9938082		7959659	473			
9937475		7959186	1075			
9936343		7958111	898			
9935702		7957213	2586			
9934699		7954627	172			
9934107		7954455	423			
9932978		7954032	297			
9932842		7953735	321			
9930987		7953414	1562			
9929277		7951852	1286			
9928218		7950566	183			
9927084		7950383	698			
9926076		7949685	303			
9925663		7949382	104			
9925392		7949278	263			
9925369		7949015	1358			
9923153		7947657	460			
9923090		7947197	423			
9922640		7946774	401			
9921803		7946373	988			
9920707		7945385	383			
9919831		7945002	596			
9919505		7944406	563			
9918962		7943843	3728			
9918299		7940115	700			
9917220		7939415	2500			
9916441		7936915	189			
9916044		7936726	368			
9915881		7936358	944			
9913511		7935414	819			
9912650		7934595	21			
9911705		7934574	135			
9910867		7934439	743			
9910053		7933696	540			
9909514		7933156	2855			
9909299		7930301	2663			
9908892		7927638	1355			
9908887		7926283	368			
9907692		7925915	3203			
9903867		7922712	133			
9901595		7922579	400			
9900774		7922179	832			
9900635		7921347	823			
9900615		7920524	606			
9899800		7919918	453			
9898858		7919465	180			
9898241		7919285	1877			
9896196		7917408	1190			
9895978		7916218	624			
9895310		7915594	2151			
9895064		7913443	2652			
9894798		7910791	225			
9893851		7910566	569			
9893155		7909997	4662			
9892758		7905335	601			
9892565		7904734	749			
9892501		7903985	203			
9890816		7903782	57			
9890389		7903725	649			
9889164		7903076	75			
9889024		7903001	353			
9888255		7902648	755			
9887439		7901893	815			
9886748		7901078	937			
9886592		7900141	166			
9886588		7899975	1351			
9885926		7898624	1169			
9884890		7897455	297			
9881485		7897158	105			
9880093		7897053	430			
9879823		7896623	688			
9879577		7895935	108			
9878999		7895827	231			
9878702		7895596	270			
9878570		7895326	174			
9878271		7895152	822			
9877920		7894330	1372			
9877723		7892958	835			
9875341		7892123	416			
9873099		7891707	129			
9872840		7891578	572			
9872094		7891006	2145			
9871142		7888861	2278			
9870603		7886583	156			
9870303		7886427	774			
9869296		7885653	152			
9868381		7885501	834			
9867269		7884667	869			
9862793		7883798	278			
9861798		7883520	2370			
9860602		7881150	1600			
9860491		7879550	1085			
9859075		7878465	16			
9858788		7878449	462			
9858540		7877987	484			
9857528		7877503	3110			
9856900		7874393	1050			
9856461		7873343	138			
9856435		7873205	1921			
9855221		7871284	3515			
9855111		7867769	1467			
9854675		7866302	2073			
9852375		7864229	15			
9852309		7864214	493			
9851238		7863721	697			
9851158		7863024	1224			
9850706		7861800	415			
9849551		7861385	404			
9849294		7860981	1503			
9846255		7859478	193			
9844059		7859285	456			
9843646		7858829	12			
9840216		7858817	569			
9838381		7858248	660			
9838001		7857588	1669			
9837901		7855919	658			
9837137		7855261	281			
9836082		7854980	729			
9835306		7854251	1537			
9835303		7852714	1160			
9834899		7851554	1121			
9834897		7850433	318			
9834018		7850115	860			
9833694		7849255	5204			
9833404		7844051	409			
9832921		7843642	422			
9830513		7843220	2197			
9829977		7841023	141			
9829545		7840882	241			
9829408		7840641	4556			
9828288		7836085	731			
9827430		7835354	319			
9825521		7835035	48			
9824470		7834987	615			
9823819		7834372	672			
9823468		7833700	542			
9822913		7833158	2579			
9822255		7830579	1046			
9818995		7829533	2240			
9818793		7827293	225			
9818390		7827068	208			
9817491		7826860	686			
9817208		7826174	367			
9816922		7825807	1239			
9813139		7824568	904			
9812143		7823664	50			
9811653		7823614	963			
9811595		7822651	1344			
9810406		7821307	1005			
9809410		7820302	427			
9809313		7819875	389			
9809298		7819486	588			
9807222		7818898	509			
9806878		7818389	550			
9805287		7817839	968			
9804626		7816871	1585			
9799871		7815286	1383			
9798921		7813903	344			
9797117		7813559	721			
9796579		7812838	1147			
9794839		7811691	4363			
9794831		7807328	39			
9794559		7807289	406			
9794107		7806883	47			
9792906		7806836	387			
9791927		7806449	809			
9791051		7805640	1698			
9790118		7803942	471			
9790103		7803471	1105			
9788298		7802366	1441			
9788238		7800925	934			
9786717		7799991	992			
9786157		7798999	422			
9785092		7798577	167			
9784821		7798410	91			
9784351		7798319	1311			
9783879		7797008	281			
9783870		7796727	1443			
9783521		7795284	1895			
9780643		7793389	1036			
9780003		7792353	309			
9778882		7792044	60			
9778480		7791984	1620			
9776603		7790364	803			
9776098		7789561	818			
9774569		7788743	2052			
9774146		7786691	734			
9773906		7785957	251			
9772899		7785706	379			
9769579		7785327	42			
9769335		7785285	53			
9768687		7785232	1168			
9766812		7784064	37			
9764906		7784027	181			
9764882		7783846	4846			
9764659		7779000	1566			
9764234		7777434	301			
9763925		7777133	890			
9763674		7776243	470			
9762828		7775773	723			
9758758		7775050	47			
9757276		7775003	217			
9756621		7774786	1516			
9756100		7773270	1624			
9755713		7771646	2256			
9755104		7769390	259			
9754649		7769131	915			
9752748		7768216	154			
9752352		7768062	1199			
9751999		7766863	2818			
9750104		7764045	1747			
9748863		7762298	2172			
9748706		7760126	877			
9744758		7759249	172			
9743850		7759077	356			
9742992		7758721	334			
9742442		7758387	619			
9742025		7757768	518			
9742016		7757250	132			
9741659		7757118	2371			
9740606		7754747	4762			
9739930		7749985	3349			
9738959		7746636	2060			
9737367		7744576	1334			
9736930		7743242	1321			
9736145		7741921	2530			
9735374		7739391	724			
9734297		7738667	2271			
9733987		7736396	694			
9732692		7735702	4693			
9731866		7731009	60			
9730771		7730949	232			
9730619		7730717	71			
9730315		7730646	352			
9730043		7730294	1616			
9729795		7728678	3			
9729690		7728675	1058			
9729451		7727617	654			
9725899		7726963	1297			
9725305		7725666	397			
9725119		7725269	829			
9722906		7724440	1432			
9722483		7723008	1202			
9718959		7721806	963			
9718434		7720843	902			
9716769		7719941	877			
9716102		7719064	434			
9714473		7718630	209			
9714286		7718421	151			
9713954		7718270	89			
9712352		7718181	1916			
9712126		7716265	4579			
9710346		7711686	163			
9708835		7711523	2514			
9708326		7709009	881			
9706804		7708128	2300			
9706592		7705828	701			
9706297		7705127	1323			
9704863		7703804	324			
9704199		7703480	505			
9702178		7702975	909			
9700781		7702066	54			
9700238		7702012	3864			
9699049		7698148	311			
9698161		7697837	857			
9697735		7696980	47			
9697536		7696933	989			
9697471		7695944	769			
9696624		7695175	886			
9696282		7694289	175			
9695948		7694114	509			
9695619		7693605	387			
9695592		7693218	465			
9695447		7692753	1755			
9694964		7690998	723			
9693868		7690275	826			
9692676		7689449	1052			
9691964		7688397	1956			
9691962		7686441	252			
9690497		7686189	181			
9689580		7686008	5026			
9688783		7680982	834			
9688628		7680148	883			
9686860		7679265	2264			
9685721		7677001	242			
9683154		7676759	406			
9683036		7676353	362			
9682315		7675991	195			
9681982		7675796	949			
9680964		7674847	497			
9679049		7674350	1788			
9678455		7672562	2360			
9676160		7670202	544			
9675942		7669658	204			
9674381		7669454	543			
9673907		7668911	1563			
9670402		7667348	155			
9668716		7667193	834			
9668589		7666359	663			
9667508		7665696	1388			
9662744		7664308	1817			
9659635		7662491	2310			
9657938		7660181	1680			
9657470		7658501	836			
9656536		7657665	368			
9656208		7657297	107			
9655701		7657190	639			
9655053		7656551	752			
9654960		7655799	719			
9654687		7655080	1804			
9652849		7653276	485			
9651945		7652791	21			
9651459		7652770	86			
9650559		7652684	1993			
9648638		7650691	1287			
9647471		7649404	587			
9646870		7648817	375			
9646784		7648442	528			
9646018		7647914	1297			
9645828		7646617	529			
9645282		7646088	682			
9645009		7645406	371			
9644381		7645035	362			
9644138		7644673	455			
9644070		7644218	4340			
9643912		7639878	762			
9641671		7639116	1093			
9640808		7638023	864			
9640765		7637159	208			
9640627		7636951	1493			
9638893		7635458	1345			
9638705		7634113	679			
9638240		7633434	362			
9637924		7633072	2988			
9637878		7630084	695			
9636318		7629389	436			
9636155		7628953	953			
9636102		7628000	576			
9633884		7627424	237			
9633861		7627187	207			
9633361		7626980	223			
9630742		7626757	1058			
9630465		7625699	1133			
9630349		7624566	1157			
9630127		7623409	328			
9630030		7623081	26			
9627927		7623055	2221			
9627362		7620834	83			
9627195		7620751	107			
9625643		7620644	3			
9624477		7620641	16			
9623326		7620625	204			
9623273		7620421	1539			
9619284		7618882	1545			
9619280		7617337	438			
9618754		7616899	83			
9615666		7616816	3026			
9615393		7613790	943			
9614498		7612847	1890			
9614414		7610957	661			
9614306		7610296	255			
9614190		7610041	1666			
9613557		7608375	1003			
9612331		7607372	36			
9611953		7607336	367			
9611278		7606969	1125			
9609889		7605844	197			
9607615		7605647	1525			
9607377		7604122	12			
9607124		7604110	529			
9606060		7603581	2601			
9603784		7600980	1583			
9603600		7599397	725			
9602768		7598672	1364			
9602556		7597308	120			
9601542		7597188	48			
9599515		7597140	1011			
9598362		7596129	708			
9597152		7595421	42			
9596453		7595379	1932			
9594298		7593447	58			
9594057		7593389	721			
9592949		7592668	70			
9592442		7592598	4055			
9592249		7588543	412			
9591011		7588131	492			
9590977		7587639	1435			
9590479		7586204	510			
9590451		7585694	1538			
9589914		7584156	2898			
9587242		7581258	2043			
9585658		7579215	540			
9585205		7578675	377			
9585167		7578298	319			
9585160		7577979	560			
9585080		7577419	24			
9584884		7577395	1401			
9584868		7575994	2993			
9584491		7573001	678			
9583820		7572323	40			
9582991		7572283	1067			
9580866		7571216	726			
9580462		7570490	1242			
9579089		7569248	220			
9578949		7569028	1748			
9578451		7567280	1543			
9578418		7565737	4958			
9573583		7560779	652			
9573115		7560127	374			
9572090		7559753	481			
9571791		7559272	1578			
9571338		7557694	129			
9570976		7557565	2106			
9570854		7555459	248			
9568880		7555211	2144			
9568512		7553067	531			
9568184		7552536	1180			
9566317		7551356	1548			
9564862		7549808	359			
9562848		7549449	137			
9562599		7549312	619			
9562188		7548693	4055			
9560846		7544638	1207			
9560230		7543431	760			
9560174		7542671	2354			
9558492		7540317	2381			
9558236		7537936	570			
9556517		7537366	671			
9555848		7536695	993			
9552186		7535702	113			
9551415		7535589	1069			
9551379		7534520	1710			
9550577		7532810	1834			
9547691		7530976	1128			
9547405		7529848	43			
9544440		7529805	110			
9543402		7529695	462			
9543015		7529233	1097			
9542797		7528136	211			
9542738		7527925	397			
9542701		7527528	302			
9542575		7527226	2124			
9540238		7525102	835			
9540232		7524267	2628			
9536592		7521639	3131			
9533341		7518508	1224			
9529190		7517284	1368			
9527884		7515916	3580			
9525849		7512336	377			
9525750		7511959	892			
9525570		7511067	1180			
9525568		7509887	2083			
9521799		7507804	1139			
9521576		7506665	1580			
9520402		7505085	201			
9520162		7504884	85			
9518772		7504799	20			
9517799		7504779	554			
9517700		7504225	607			
9512902		7503618	1990			
9511823		7501628	671			
9511445		7500957	2319			
9509036		7498638	33			
9506995		7498605	212			
9504886		7498393	476			
9504853		7497917	2542			
9503192		7495375	757			
9502138		7494618	1161			
9500803		7493457	890			
9499854		7492567	1011			
9497926		7491556	530			
9497871		7491026	2443			
9497766		7488583	277			
9497492		7488306	1379			
9496332		7486927	673			
9496249		7486254	2126			
9495365		7484128	1172			
9494278		7482956	399			
9493801		7482557	75			
9493003		7482482	204			
9492288		7482278	54			
9491864		7482224	1498			
9491685		7480726	116			
9490384		7480610	559			
9490091		7480051	906			
9488138		7479145	1908			
9487338		7477237	735			
9485702		7476502	1102			
9485635		7475400	272			
9484851		7475128	2505			
9484356		7472623	2318			
9483082		7470305	824			
9483028		7469481	2475			
9482528		7467006	945			
9481432		7466061	553			
9481089		7465508	897			
9480026		7464611	853			
9479172		7463758	250			
9478316		7463508	146			
9478004		7463362	1320			
9477215		7462042	195			
9475943		7461847	18			
9474824		7461829	3146			
9473576		7458683	2501			
9472371		7456182	419			
9471254		7455763	813			
9470533		7454950	536			
9469934		7454414	282			
9468867		7454132	538			
9468162		7453594	748			
9467477		7452846	1240			
9467370		7451606	206			
9466824		7451400	1453			
9466353		7449947	2890			
9462105		7447057	887			
9461958		7446170	145			
9461092		7446025	354			
9459531		7445671	1034			
9457830		7444637	431			
9456672		7444206	1151			
9456588		7443055	668			
9454707		7442387	548			
